order_id,item_id
325b7ae1-b4bd-42bb-8a08-5771c37293de,b63a29e9-dda8-40d6-83b0-dc31c0bdda09
325b7ae1-b4bd-42bb-8a08-5771c37293de,7a98a5b7-6cc3-4a3a-a83e-c13f85fa04ec
cd96ef2d-d004-4003-bbfa-abb08f720cf6,fe8d7935-6a74-454b-8417-efd2f463f960
c1d0dfa3-1e11-4044-9476-44f97677baf1,fe8d7935-6a74-454b-8417-efd2f463f960
c1d0dfa3-1e11-4044-9476-44f97677baf1,c9f9c750-a11c-4186-8172-7b3bda8f1322
c1d0dfa3-1e11-4044-9476-44f97677baf1,8dd3c660-e671-4f07-8af4-4fac9dc5a67f
c1d0dfa3-1e11-4044-9476-44f97677baf1,179b4de0-0d7a-455b-8b9a-fc3e738786b4
f52ad15d-61f1-4fab-9c53-773cf46574da,b4763893-fd95-494c-ba7e-1d1ccef1fcbe
1154efb1-2d4a-40ad-9147-f450f15d9aed,c68f85ba-79dd-4af4-b62d-3b797b998e1c
6ff03d6f-7a5e-404d-b501-402b3f147023,b63a29e9-dda8-40d6-83b0-dc31c0bdda09
6ff03d6f-7a5e-404d-b501-402b3f147023,c9f9c750-a11c-4186-8172-7b3bda8f1322
1b75832c-4fd3-40f9-907e-cee0784bf850,7a98a5b7-6cc3-4a3a-a83e-c13f85fa04ec
8a980646-4238-4425-b52c-b7c0363afd4d,b4763893-fd95-494c-ba7e-1d1ccef1fcbe
